cc;amount;year;month;product
SE;1366;2018;07;crude
DE;1558;2018;07;crude
UY;0;2018;07;crude
US;0;2018;07;crude
BE;0;2018;08;crude
CA;0;2018;08;crude
DK;1270;2018;08;crude
FI;521;2018;08;crude
FR;0;2018;08;crude
ID;0;2018;08;crude
IE;1199;2018;08;crude
IT;392;2018;08;crude
CN;0;2018;08;crude
HR;0;2018;08;crude
LT;0;2018;08;crude
MQ;0;2018;08;crude
NL;3803;2018;08;crude
PL;419;2018;08;crude
PT;0;2018;08;crude
ES;398;2018;08;crude
GB;11122;2018;08;crude
SE;3011;2018;08;crude
DE;1066;2018;08;crude
UY;0;2018;08;crude
US;947;2018;08;crude
BE;0;2018;09;crude
CA;0;2018;09;crude
DK;1058;2018;09;crude
FI;1523;2018;09;crude
FR;954;2018;09;crude
ID;0;2018;09;crude
IE;871;2018;09;crude
IT;1434;2018;09;crude
CN;0;2018;09;crude
HR;0;2018;09;crude
LT;0;2018;09;crude
MQ;402;2018;09;crude
NL;6639;2018;09;crude
PL;736;2018;09;crude
PT;0;2018;09;crude
ES;422;2018;09;crude
GB;7866;2018;09;crude
SE;1861;2018;09;crude
DE;1904;2018;09;crude
UY;0;2018;09;crude
US;0;2018;09;crude
BE;0;2018;10;crude
CA;1115;2018;10;crude
DK;1000;2018;10;crude
FI;975;2018;10;crude
FR;0;2018;10;crude
ID;0;2018;10;crude
IE;425;2018;10;crude
IT;0;2018;10;crude
CN;0;2018;10;crude
HR;0;2018;10;crude
LT;434;2018;10;crude
MQ;0;2018;10;crude
NL;5234;2018;10;crude
PL;0;2018;10;crude
PT;0;2018;10;crude
ES;1582;2018;10;crude
GB;10651;2018;10;crude
SE;2390;2018;10;crude
DE;3431;2018;10;crude
UY;0;2018;10;crude
US;1572;2018;10;crude
